,0,absolute_path
0,timeline.aspx?pid=SIA/OR/IND2/22411/2018&type=TOR&ID=58358,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22411/2018&type=TOR&ID=58358
1,timeline.aspx?pid=SIA/OR/IND2/22409/2018&type=TOR&ID=58355,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22409/2018&type=TOR&ID=58355
2,timeline.aspx?pid=SIA/OR/IND2/22393/2018&type=TOR&ID=58335,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22393/2018&type=TOR&ID=58335
3,timeline.aspx?pid=SIA/OR/IND2/22348/2018&type=TOR&ID=58289,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22348/2018&type=TOR&ID=58289
4,timeline.aspx?pid=SIA/OR/IND2/22336/2018&type=TOR&ID=58268,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22336/2018&type=TOR&ID=58268
5,timeline.aspx?pid=SIA/OR/IND2/22397/2018&type=TOR&ID=58340,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22397/2018&type=TOR&ID=58340
6,timeline.aspx?pid=SIA/OR/IND2/22337/2018&type=TOR&ID=58270,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22337/2018&type=TOR&ID=58270
7,timeline.aspx?pid=SIA/OR/IND2/22328/2018&type=TOR&ID=58244,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22328/2018&type=TOR&ID=58244
8,timeline.aspx?pid=SIA/OR/IND2/22327/2018&type=TOR&ID=58242,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22327/2018&type=TOR&ID=58242
9,timeline.aspx?pid=SIA/OR/IND2/22326/2018&type=TOR&ID=58237,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22326/2018&type=TOR&ID=58237
10,timeline.aspx?pid=SIA/OR/IND2/22324/2018&type=TOR&ID=58235,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22324/2018&type=TOR&ID=58235
11,timeline.aspx?pid=SIA/OR/IND2/22319/2018&type=TOR&ID=58227,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22319/2018&type=TOR&ID=58227
12,timeline.aspx?pid=SIA/OR/IND2/22322/2018&type=TOR&ID=58232,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22322/2018&type=TOR&ID=58232
13,timeline.aspx?pid=SIA/OR/IND2/22314/2018&type=TOR&ID=58219,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22314/2018&type=TOR&ID=58219
14,timeline.aspx?pid=SIA/OR/IND2/22310/2018&type=TOR&ID=58217,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22310/2018&type=TOR&ID=58217
15,timeline.aspx?pid=SIA/OR/IND2/22309/2018&type=TOR&ID=58216,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22309/2018&type=TOR&ID=58216
